,idx,name,eans,slug
11840,158539300000,Göral graines de courge,8696000001912,supermarche/denrees-alimentaires/garnitures-ingredients/du-monde-entier/turquie
11841,103322000000,M-Classic huile de colza HOLL,7610200040374,supermarche/denrees-alimentaires/garnitures-ingredients/ingredients-de-cuisson/huiles
11842,103322000000,M-Classic huile de colza HOLL,7610231087560,supermarche/denrees-alimentaires/garnitures-ingredients/ingredients-de-cuisson/huiles
11843,103322000000,M-Classic huile de colza HOLL,7617015025527,supermarche/denrees-alimentaires/garnitures-ingredients/ingredients-de-cuisson/huiles
11844,122060300000,Oasis Orange,3595801901122,supermarche/denrees-alimentaires/boissons-chaudes-froides/jus-de-fruits-de-legumes
11845,158528300000,Chop Stick Szechuan Sauce,7617027917391,supermarche/denrees-alimentaires/garnitures-ingredients/du-monde-entier/asie
11846,158528300000,Chop Stick Szechuan Sauce,7617027917407,supermarche/denrees-alimentaires/garnitures-ingredients/du-monde-entier/asie
11847,154030000000,Malbuner fromage d'italie piquant,7613292131937,supermarche/denrees-alimentaires/garnitures-ingredients/viande-en-conserve
11848,154030000000,Malbuner fromage d'italie piquant,7613292231934,supermarche/denrees-alimentaires/garnitures-ingredients/viande-en-conserve
11849,120224700000,7up Grapefruit,4060800175793,supermarche/denrees-alimentaires/boissons-chaudes-froides/boissons-sucrees
11850,212573900000,Brebiou des Pyrénées,3222110003925,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromages-de-chevre-de-brebis
11851,212573900000,Brebiou des Pyrénées,7616600801515,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromages-de-chevre-de-brebis
11852,153271600000,Alnatura sauce Tomate arrabbiata,4104420186507,supermarche/denrees-alimentaires/garnitures-ingredients
11853,153271600000,Alnatura sauce Tomate arrabbiata,7613312095959,supermarche/denrees-alimentaires/garnitures-ingredients
11854,153271600000,Alnatura sauce Tomate arrabbiata,4104420186514,supermarche/denrees-alimentaires/garnitures-ingredients
11855,153271600000,Alnatura sauce Tomate arrabbiata,4104420031852,supermarche/denrees-alimentaires/garnitures-ingredients
11856,110147500000,Alnatura cracker Epeautre au sésame,4104420056268,supermarche/denrees-alimentaires/chocolat/sain-bio
11857,110147500000,Alnatura cracker Epeautre au sésame,7613269435235,supermarche/denrees-alimentaires/chocolat/sain-bio
11858,110147500000,Alnatura cracker Epeautre au sésame,4104420056275,supermarche/denrees-alimentaires/chocolat/sain-bio
11859,110147500000,Alnatura cracker Epeautre au sésame,7613269435242,supermarche/denrees-alimentaires/chocolat/sain-bio
11860,130718900000,Anna's Best Smoothie Red Dragon Fruit,7613269682387,supermarche/denrees-alimentaires/plats-cuisines/pizza-menus-snacks/jus-de-fruits
11861,130718900000,Anna's Best Smoothie Red Dragon Fruit,7613269682394,supermarche/denrees-alimentaires/plats-cuisines/pizza-menus-snacks/jus-de-fruits
11862,104480900000,Original Rösti,7616800460307,supermarche/denrees-alimentaires/garnitures-ingredients/pommes-de-terre-spaetzli
11863,104480900000,Original Rösti,7616800560816,supermarche/denrees-alimentaires/garnitures-ingredients/pommes-de-terre-spaetzli
11864,104480900000,Original Rösti,2038000460300,supermarche/denrees-alimentaires/garnitures-ingredients/pommes-de-terre-spaetzli
11865,104480900000,Original Rösti,7616800609973,supermarche/denrees-alimentaires/garnitures-ingredients/pommes-de-terre-spaetzli
11866,121012500000,Bio Schorle pomme-Framboise-raisin,7613312071700,supermarche/denrees-alimentaires/boissons-chaudes-froides/jus-de-fruits-de-legumes
11867,107045100000,Messmer Thé vert - matcha,4002221028630,supermarche/denrees-alimentaires/boissons-chaudes-froides/the/the-vert
11868,107045100000,Messmer Thé vert - matcha,4002221028623,supermarche/denrees-alimentaires/boissons-chaudes-froides/the/the-vert
11869,277107901000,Oignons,2124453000009,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/legumes-de-garde
11870,277107901000,Oignons,7617027557580,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/legumes-de-garde
11871,277107901000,Oignons,7617027402538,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/legumes-de-garde
11872,210523100000,Tomme fourrée poivre-cogn.,7623700001769,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromages-a-pate-molle
11873,210523100000,Tomme fourrée poivre-cogn.,7623700910665,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromages-a-pate-molle
11874,101540100000,Swiss chocolate Mahony assortis,7616500660472,supermarche/denrees-alimentaires/chocolat/chocolat/chocolat-a-offrir
11875,101540100000,Swiss chocolate Mahony assortis,7616500395466,supermarche/denrees-alimentaires/chocolat/chocolat/chocolat-a-offrir
11876,162001000000,Denny's Classic Frites au four,7610200312143,supermarche/denrees-alimentaires/produits-surgeles/legumes-pommes-de-terre
11877,162001000000,Denny's Classic Frites au four,7617015028368,supermarche/denrees-alimentaires/produits-surgeles/legumes-pommes-de-terre
11878,274486003300,Bio Pdt.ferme,7613269055341,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/legumes-de-garde
11879,274486003300,Bio Pdt.ferme,7613269055358,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/legumes-de-garde
11880,122077300000,Ice Age Tropic fruits,7613312087909,supermarche/denrees-alimentaires/boissons-chaudes-froides/jus-de-fruits-de-legumes
11881,122077300000,Ice Age Tropic fruits,7613312087916,supermarche/denrees-alimentaires/boissons-chaudes-froides/jus-de-fruits-de-legumes
11882,250100335000,MSC Fil.d.plie carrlet,2188541000005,supermarche/denrees-alimentaires/poisson-fruits-de-mer/poisson-frais
11883,250100335000,MSC Fil.d.plie carrlet,7617100214782,supermarche/denrees-alimentaires/poisson-fruits-de-mer/poisson-frais
11884,250100335000,MSC Fil.d.plie carrlet,7617100721259,supermarche/denrees-alimentaires/poisson-fruits-de-mer/poisson-frais
11885,120229000000,Alnavit energy,42305187,supermarche/denrees-alimentaires/boissons-chaudes-froides/jus-de-fruits-de-legumes
11886,120229000000,Alnavit energy,7613312121986,supermarche/denrees-alimentaires/boissons-chaudes-froides/jus-de-fruits-de-legumes
11887,120229000000,Alnavit energy,4260012975529,supermarche/denrees-alimentaires/boissons-chaudes-froides/jus-de-fruits-de-legumes
11888,227230023000,MClass Pot filetmignon,2150448000006,supermarche/denrees-alimentaires/plats-cuisines/convenience
11889,227230023000,MClass Pot filetmignon,7617100219534,supermarche/denrees-alimentaires/plats-cuisines/convenience
11890,227230023000,MClass Pot filetmignon,7617100725998,supermarche/denrees-alimentaires/plats-cuisines/convenience
11891,104135500000,Agnesi Linguine N.10,8001200030929,supermarche/denrees-alimentaires/garnitures-ingredients/pates
11892,104135500000,Agnesi Linguine N.10,7617015026050,supermarche/denrees-alimentaires/garnitures-ingredients/pates
11893,104135500000,Agnesi Linguine N.10,8001200037447,supermarche/denrees-alimentaires/garnitures-ingredients/pates
11894,104135500000,Agnesi Linguine N.10,8001200030936,supermarche/denrees-alimentaires/garnitures-ingredients/pates
11895,113315000000,Gâteau aux noix de l'Engadine,7616700001358,supermarche/denrees-alimentaires/boulangerie/boulangerie-patisserie/gateaux-cakes-roules
11896,113315000000,Gâteau aux noix de l'Engadine,7616700058567,supermarche/denrees-alimentaires/boulangerie/boulangerie-patisserie/gateaux-cakes-roules
11897,152190300000,Alnatura compote de Pommes avec poires,4104420034549,supermarche/denrees-alimentaires/garnitures-ingredients
11898,152190300000,Alnatura compote de Pommes avec poires,7613269433286,supermarche/denrees-alimentaires/garnitures-ingredients
11899,152190300000,Alnatura compote de Pommes avec poires,4104420034556,supermarche/denrees-alimentaires/garnitures-ingredients
11900,152190300000,Alnatura compote de Pommes avec poires,7613269433293,supermarche/denrees-alimentaires/garnitures-ingredients
11901,100203400000,Pralinor,7616500020344,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11902,100203400000,Pralinor,7616500001732,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11903,100203400000,Pralinor,23510005,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11904,104237500000,Sélection Blueberry granola,7613312139127,supermarche/denrees-alimentaires/mueesli-cereales/cereales
11905,104237500000,Sélection Blueberry granola,7613312139134,supermarche/denrees-alimentaires/mueesli-cereales/cereales
11906,106245000000,Poudre curry medium Brulée,4000068033374,supermarche/denrees-alimentaires/garnitures-ingredients/epices-herbes
11907,106245000000,Poudre curry medium Brulée,4000068731874,supermarche/denrees-alimentaires/garnitures-ingredients/epices-herbes
11908,106140600000,Bon Chef premium Bouillon poule,7613312034569,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/bouillon
11909,106140600000,Bon Chef premium Bouillon poule,7613312034576,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/bouillon
11910,210513000000,Robiole Maruda,7610555460063,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromages-a-pate-molle
11911,210513000000,Robiole Maruda,7617027307741,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromages-a-pate-molle
11912,104277600000,Bio müesli croquant 7 céréales,7613269352853,supermarche/denrees-alimentaires/mueesli-cereales/cereales
11913,104277600000,Bio müesli croquant 7 céréales,7613269352860,supermarche/denrees-alimentaires/mueesli-cereales/cereales
11914,204510900000,Bio Lassi framboise,7617027983556,supermarche/denrees-alimentaires/produits-laitiers-oeufs/yogourt
11915,204510900000,Bio Lassi framboise,7617027983563,supermarche/denrees-alimentaires/produits-laitiers-oeufs/yogourt
11916,121502200000,Bio sirop de menthe poivrée,7617500197029,supermarche/denrees-alimentaires/boissons-chaudes-froides/sirop-soda
11917,121502200000,Bio sirop de menthe poivrée,7613312095287,supermarche/denrees-alimentaires/boissons-chaudes-froides/sirop-soda
11918,121502200000,Bio sirop de menthe poivrée,7617500230023,supermarche/denrees-alimentaires/boissons-chaudes-froides/sirop-soda
11919,274450603300,Pommes des terres rösti-frites baked,7610200389749,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/legumes-de-garde
11920,274450603300,Pommes des terres rösti-frites baked,7617027399753,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/legumes-de-garde
11921,220662040000,MClass Filet mignon,2184986000006,supermarche/denrees-alimentaires/viande/porc
11922,220662040000,MClass Filet mignon,7617027732765,supermarche/denrees-alimentaires/viande/porc
11923,220662040000,MClass Filet mignon,7617027732758,supermarche/denrees-alimentaires/viande/porc
11924,251434250100,Sushi Chicken Roll Mix,7617027955553,supermarche/denrees-alimentaires/poisson-fruits-de-mer/traiteur
11925,251434250100,Sushi Chicken Roll Mix,7617027955560,supermarche/denrees-alimentaires/poisson-fruits-de-mer/traiteur
11926,101935100000,Farm Chips aux herbes suisses,7613312014370,supermarche/denrees-alimentaires/aperitif/chips
11927,101935100000,Farm Chips aux herbes suisses,7613312014387,supermarche/denrees-alimentaires/aperitif/chips
11928,271400708400,M-Budget Tomates,7617027953429,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/tomates
11929,271400708400,M-Budget Tomates,7617027953436,supermarche/denrees-alimentaires/fruits-et-legumes/legumes/tomates
11930,220860510092,Filet d'agneau mariné,2186457000003,supermarche/denrees-alimentaires/viande
11931,220860510092,Filet d'agneau mariné,7617027775182,supermarche/denrees-alimentaires/viande
11932,220860510092,Filet d'agneau mariné,7617027775175,supermarche/denrees-alimentaires/viande
11933,120301200000,Evian,3068320353500,supermarche/denrees-alimentaires/boissons-chaudes-froides/eau-minerale
11934,111933900000,M-Classic Croissants au beurre Précuits,7616700001174,supermarche/denrees-alimentaires/boulangerie/produits-frais-de-boulangerie-refrigeres
11935,111933900000,M-Classic Croissants au beurre Précuits,7616700044058,supermarche/denrees-alimentaires/boulangerie/produits-frais-de-boulangerie-refrigeres
11936,107044900000,Messmer thé Maple canadien,4002221028241,supermarche/denrees-alimentaires/boissons-chaudes-froides/the/the-aux-fruits
11937,107044900000,Messmer thé Maple canadien,4002221028258,supermarche/denrees-alimentaires/boissons-chaudes-froides/the/the-aux-fruits
11938,160139600000,Happy Hour Gourmet-chüechli CH,7616700010602,supermarche/denrees-alimentaires/produits-surgeles/aperitif-dessert
11939,160139600000,Happy Hour Gourmet-chüechli CH,7616700069341,supermarche/denrees-alimentaires/produits-surgeles/aperitif-dessert
11940,160139600000,Happy Hour Gourmet-chüechli CH,7617015027712,supermarche/denrees-alimentaires/produits-surgeles/aperitif-dessert
