id,name,barcode,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
199,M Classic Fruit Fun Multivitamin,7617027953023,/boissons-chaudes-froides/jus-de-fruits-de-legumes,187.0,0.0,0.5,10.0,11.0,0.5,0.0,0.5,0.0,0.2,1.8,0.0,0.0,0.0,25.0,0.15,0.0,2.4,0.0,0.4
201,Migros Léger Camembert,7610028091107,/produits-laitiers-oeufs/fromages,770.0,1.5,23.0,0.5,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Canne gros cristaux Sucre de canne brut,7610200010117,/boulangerie/ingredients-de-boulangerie,1683.0,0.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Gomez Mix Serpentins,7613312003787,/chocolat/divers,1519.0,0.05,2.5,64.0,82.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Haricots de Soisson blancs,7610200084408,/garnitures-ingredients/legumes-a-salade,273.0,1.0,4.5,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Aproz Plus Plantes aromatiques,7613312086971,/boissons-chaudes-froides/eau-aromatisee,68.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,FARMER PLUS NOUVEAU CRUNCHY MIX,7613312091975,/mueesli-cereales/mueesli,1740.0,0.38,8.0,21.0,64.0,12.0,0.0,9.0,0.0,1.1,12.0,200.0,0.0,5.0,80.0,0.0,6.0,0.0,1.4,2.5
231,M Classic Semoule de blé dur,7613312078808,/garnitures-ingredients/garnitures-moulues-cereales,1450.0,0.01,12.0,1.0,68.0,1.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Sirop d'érable,7613269314967,/boulangerie/ingredients-de-boulangerie,1495.0,0.01,0.0,77.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Migros Crevettes,7617027890632,/poisson-fruits-de-mer/fruits-de-mer-crevettes,301.0,2.02,15.0,0.5,1.6,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,Migros Bio Saucisse à rôtir,7617100217806,/viande/produits-de-charcuterie,980.0,1.8,13.0,1.0,1.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,Polli Peperoni alla Calabrese Arte Italiana,80535881,/garnitures-ingredients/antipasti,306.0,2.1,0.6,6.4,6.8,4.2,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,Alnavit Bio Heidelbeer Muttersaft,42279044,/boissons-chaudes-froides/jus-de-fruits-de-legumes,164.0,0.01,0.4,8.2,8.5,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Anna's BEST Birchermüesli Classic,7613269305248,/plats-cuisines/pizza-menus-snacks,595.0,0.0,3.5,0.0,21.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,Ice Tea Green Tea,7613269264811,/boissons-chaudes-froides/the-glace,119.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,Sarasay Orange mangue,7616800836393,/boissons-chaudes-froides/jus-de-fruits-de-legumes,223.0,0.0,0.5,13.0,13.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,Smams Maxi Mix 6 arômes Mélange de bonbons à mâcher- avec colorants naturels,7613269333234,/chocolat/bonbons-chewing-gum,1646.0,0.0,3.0,84.0,84.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,Migros Cafino Classic,7610200081193,/boissons-chaudes-froides/cafe,1600.0,0.13,6.0,7.0,85.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,Extra Gelée Framboises,7616800106045,/petit-dejeuner/confitures,1040.0,0.04,0.5,61.0,61.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,Actilife Good Morning Boisson avec de jus fruits et pulpe de fruits,7613312035351,/boissons-chaudes-froides/jus-de-fruits-de-legumes,143.0,0.0,0.5,8.0,8.0,0.5,0.0,0.5,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,sciroppo ARANCIA SANGUIGNA,7613269355977,/boissons-chaudes-froides/sirop-soda,204.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,La Pizza al prosciutto cotto e mascarpone,7613269490685,/plats-cuisines/pizza-menus-snacks,100.0,1.5,10.0,5.0,28.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,Pignons,7610200303394,/boulangerie/ingredients-de-boulangerie,2480.0,0.0,32.0,5.0,14.0,45.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,M-Classic Raviolli alla Bolognese Farcis à la Viande de Bœuf,7616800811253,/garnitures-ingredients/viande-en-conserve,420.0,1.1,4.5,2.0,11.0,4.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,Migros Bio UHT Lait,7610200362735,/produits-laitiers-oeufs/lait-boissons-lactees,300.0,0.1,3.5,5.0,5.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Coco ice-land pure coco,7613312067703,/produits-surgeles/glace-entremets,921.0,0.02,1.0,18.0,27.0,12.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
