category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
/PRODUITS_SURGELES/GLACE_ENTREMETS,-0.283674202341539,-0.3213258378904823,-0.7107960506373755,0.82457923445013,-0.053707939470635874,-0.16510874788799365,-0.34544007556278566,-0.38518081892906947,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/MUEESLI_CEREALES/BARRES_DE_CEREALES,0.9052187959971256,-0.2818797452889949,0.004108150695731939,1.6839949867848374,1.1035279141489243,0.34473536465689636,0.4532207693340182,0.7770711930016376,-0.10961034103739145,0.04960011113668761,-0.006964288516870245,0.5508454141622646,0.1996705361654811,0.24914302693869791,0.33904943513024427,-0.10179805585978356,0.2526546165725554,-0.03387974730848223,-0.03269750553035216,0.0777932573483778
/BOULANGERIE/BISCOTTES_PAIN_CROUSTILLANT,1.0473090150003443,-0.004325233442343218,0.24827876660912038,-0.12107148062703829,1.4256072746824238,-0.08462127145035568,0.2588948498929902,0.9262769378077065,-0.10961034103739145,-0.03864831862955307,-0.22217654238793866,-0.06696552668035266,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.1013488954704504,-0.1769115650574023,-0.03744161017417108,-0.03283896266038729,-0.19405196641393335
/PRODUITS_LAITIERS_OEUFS/FROMAGES,0.1531852214297265,0.05281011427309328,1.3457169125270096,-0.6465157209454913,-1.095484825704038,0.8360903784007153,0.08505019253264111,-0.7477968924979679,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.11248918748806658,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.13083161139979807,-0.19405196641393335
/MUEESLI_CEREALES/CEREALES,0.9583781170557746,-0.25063121018553314,0.6262527884672461,0.12296673546185596,1.153654227677842,0.025648579283306275,0.14914963236419349,2.0268214971271505,0.10671096083084895,0.9126061760900024,-0.22217654238793866,0.8650106660731322,-0.18552425966102948,0.15899984024528466,-0.2258840923535542,-0.07309065586114344,0.9124469017655569,0.8096408491619483,1.02314703456562,1.1288895902842973
/BOULANGERIE/FARINE,0.3744645425398594,-0.29106894906791736,0.735339188690132,-0.6768511707665961,1.5276898251481281,-0.672151687634243,-0.4723671321107876,0.5898571403284165,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/GARNITURES_INGREDIENTS/SOUPES_SAUCES_BOUILLON,-0.6639390924115677,0.12017283482896461,-0.7875095705179248,-0.5184805126952973,-0.8241082772563997,-0.015469436287361804,-0.341708110089192,-0.5121765895397733,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/PRODUITS_LAITIERS_OEUFS/YOGOURT,-1.0078920408253134,-0.3299509373659109,-0.6475148336698553,0.045769682603740605,-0.6732068307980309,-0.5872197065304933,-0.33229744573845665,-0.6290696751010497,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/MUEESLI_CEREALES/MUEESLI,1.0969141668194464,-0.258806076719022,0.6956142461450981,0.21518789390992107,1.0651171260826524,0.2622116957042787,0.03415027288508035,1.8038254910213372,-0.10961034103739145,0.8995623986415863,0.19520479845292127,0.2826519826572416,-0.18552425966102948,0.6635914392288221,0.419754224770787,-0.10588586910007837,0.6545068510005804,-0.17325843720230613,0.259694382252235,0.3389778841004022
/CHOCOLAT/DIVERS,0.5709685244095627,-0.2601325041902905,-0.41952720472937455,2.7351773346506736,1.8538734157857728,-0.6720741277950018,-0.4983157696618054,-0.6187999205990218,0.17093134732298282,-0.16407755890644335,0.0386867956375988,0.09979282481290777,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.09746978301711848,0.3427249449788368,0.10902751701303343,-0.16015037969199275,0.13909169015752637
