,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
10,/PRODUITS_SURGELES/GLACE_ENTREMETS,889.7286821705426,0.12612403100775182,3.0968992248062017,23.82015503875969,27.805426356589148,9.36046511627907,0.15503875968992248,1.4798449612403104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,/MUEESLI_CEREALES/BARRES_DE_CEREALES,1670.0260000000003,0.254,7.927499999999999,36.795,55.975,16.279999999999998,0.9650000000000001,5.77,0.0,0.0225,0.2475,12.4,16.5,0.10500000000000001,2.8,0.017,0.124,0.1975,0.017,0.051000000000000004
12,/BOULANGERIE/BISCOTTES_PAIN_CROUSTILLANT,1763.2830188679245,1.1537735849056607,9.57735849056604,9.543396226415094,63.81509433962264,10.452830188679245,0.7679245283018868,6.320754716981132,0.0,0.01320754716981132,0.0,2.2641509433962264,0.0,0.0,0.0,0.018867924528301886,0.0,0.19245283018867923,0.016981132075471698,0.0
13,/PRODUITS_LAITIERS_OEUFS/FROMAGES,1176.4493854748603,1.338994413407822,16.9927374301676,1.6106145251396646,2.4463687150838,22.948603351955303,0.5916201117318436,0.14134078212290502,0.0,0.0,0.0,0.0,3.1284916201117317,0.0,0.0,0.0,0.0,0.0,0.003910614525139664,0.0
15,/MUEESLI_CEREALES/CEREALES,1704.9156626506024,0.35530120481927724,12.131325301204818,13.227710843373496,57.195180722891564,11.949397590361446,0.6566265060240963,10.38313253012048,0.963855421686747,0.11337349397590361,0.0,17.55421686746988,0.0,0.08433734939759036,0.0,0.1363855421686747,0.3144578313253012,1.3927710843373493,0.15783132530120483,0.24819277108433738
16,/BOULANGERIE/FARINE,1321.6799999999998,0.2242105263157895,12.868421052631577,1.1526315789473685,66.3,2.478947368421052,0.02631578947368421,5.078947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,/GARNITURES_INGREDIENTS/SOUPES_SAUCES_BOUILLON,640.1522491349481,1.5573702422145328,2.578546712802767,3.5435986159169546,9.052249134948099,11.391349480968858,0.1588235294117647,1.0110726643598613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,/PRODUITS_LAITIERS_OEUFS/YOGOURT,414.40816326530614,0.09816326530612231,3.5244897959183676,12.062244897959186,12.725510204081631,3.6316326530612253,0.1683673469387755,0.5795918367346938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,/MUEESLI_CEREALES/MUEESLI,1795.84,0.3288,12.6,14.62,55.04,15.16,0.54,9.56,0.0,0.11199999999999999,0.48,8.0,0.0,0.2,3.2,0.0,0.24,0.0,0.055999999999999994,0.1
20,/CHOCOLAT/DIVERS,1450.65,0.3245,5.065,52.665,74.24,2.48,0.0,0.6174999999999999,1.25,0.0,0.3,5.0,0.0,0.0,0.0,0.034999999999999996,0.15,0.4,0.0,0.0625
21,/BOULANGERIE/INGREDIENTS_DE_BOULANGERIE,1624.6747572815534,0.3291262135922332,6.193203883495145,31.082524271844655,48.50922330097087,17.27718446601942,0.4165048543689321,4.543689320388349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,/GARNITURES_INGREDIENTS/LEGUMES_LEGUMES_AU_VINAIGRE,194.37878787878788,1.6310606060606063,1.706060606060606,3.1672727272727275,6.251515151515151,1.2166666666666663,0.030303030303030304,2.157121212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,/BOISSONS_CHAUDES_FROIDES/SIROP_SODA,166.76470588235293,0.0008823529411764705,0.04411764705882353,9.676470588235293,9.676470588235293,0.04411764705882353,0.0,0.13823529411764707,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.0,0.0,0.0,0.0
24,/CHOCOLAT/SPECIALITES,1745.7931034482758,0.41000000000000003,6.334482758620689,37.54827586206896,67.67241379310344,14.451724137931034,2.220689655172414,1.9034482758620688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,/POISSON_FRUITS_DE_MER/TRAITEUR,665.7631578947369,2.2626315789473685,16.615789473684206,1.5842105263157893,3.676315789473684,8.918421052631578,0.013157894736842105,0.7105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,/PRODUITS_SURGELES/POISSON_FRUITS_DE_MER,604.2898550724638,1.123913043478261,13.96391304347826,0.9,6.637246376811595,7.118840579710144,0.007246376811594203,0.5492753623188407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,/BOISSONS_CHAUDES_FROIDES/BOISSONS_SUCREES,137.32931034482755,0.02241379310344829,0.10172413793103442,6.417241379310344,6.910344827586206,0.43103448275862066,0.0,0.060344827586206906,0.0,0.0,0.0,0.0,0.0,0.0,0.8275862068965517,0.0,0.0,0.0,0.0,0.0
28,/BOISSONS_CHAUDES_FROIDES/JUS_DE_FRUITS_DE_LEGUMES,177.35643564356437,0.06801980198019796,0.4772277227722775,8.917821782178219,9.467326732673268,0.3516831683168318,0.0049504950495049506,0.37029702970297035,0.2376237623762376,0.015841584158415842,0.15445544554455448,1.9306930693069306,4.914851485148515,0.0,3.9603960396039604,0.013366336633663364,0.03663366336633663,0.1217821782178218,0.009900990099009901,0.025247524752475246
29,/GARNITURES_INGREDIENTS/LEGUMES_A_SALADE,275.7037037037037,0.6018518518518519,3.6222222222222222,2.025925925925926,9.77037037037037,0.8296296296296296,0.0,3.3851851851851853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,/BOISSONS_CHAUDES_FROIDES/EAU_AROMATISEE,65.63157894736842,0.002105263157894737,0.042105263157894736,3.3157894736842106,3.7526315789473674,0.03684210526315789,0.005263157894736842,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,/GARNITURES_INGREDIENTS/GARNITURES_MOULUES_CEREALES,1329.5,0.025000000000000005,8.916666666666666,1.0,64.98333333333333,1.1666666666666667,0.08333333333333333,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,/POISSON_FRUITS_DE_MER/FRUITS_DE_MER_CREVETTES,312.8333333333333,1.6983333333333333,13.5,0.4916666666666667,1.1833333333333333,1.7083333333333333,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,/VIANDE/PRODUITS_DE_CHARCUTERIE,913.2083333333334,2.1500000000000004,15.166666666666666,1.0416666666666667,2.8958333333333335,18.083333333333332,0.4166666666666667,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,/GARNITURES_INGREDIENTS/ANTIPASTI,578.0,1.716818181818182,2.3090909090909086,5.509090909090909,8.245454545454546,10.763636363636364,0.0,3.6500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,/BOISSONS_CHAUDES_FROIDES/THE_GLACE,97.9375,0.016458333333333335,0.3854166666666667,5.431250000000001,5.76875,0.17708333333333334,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0
36,/BOISSONS_CHAUDES_FROIDES/CAFE,973.7777777777778,0.3377777777777777,4.5,13.688888888888888,44.333333333333336,3.1333333333333333,0.0,3.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,/PETIT_DEJEUNER/CONFITURES,970.8958333333334,0.05729166666666664,0.5458333333333333,53.0,55.75,0.3541666666666667,0.004166666666666667,1.4562499999999998,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
38,/GARNITURES_INGREDIENTS/VIANDE_EN_CONSERVE,687.84375,0.9637500000000001,10.234375,1.58125,6.81875,10.54375,0.1875,0.9031250000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,/PRODUITS_LAITIERS_OEUFS/LAIT_BOISSONS_LACTEES,260.3157894736842,0.10815789473684206,2.8236842105263156,7.209210526315791,7.801315789473685,2.0368421052631573,0.06052631578947368,0.29605263157894735,0.0,0.014605263157894737,0.16052631578947368,0.5263157894736842,6.842105263157895,0.07697368421052632,0.39473684210526316,0.04118421052631579,0.0,0.03684210526315789,0.0175,0.007894736842105265
